algorithm,n_genuine,n_impostor,auc,eer,gen_deny<0.55,gen_fusion_0.55-0.80,gen_instant>=0.80,imp_deny<0.55,imp_fusion_0.55-0.80,imp_instant>=0.80
RandomForest,135,3860,1.0000,0.0006,0.0000,0.9407,0.0593,0.0427,0.9573,0.0000
ProfileMatcher_GP,135,3860,1.0000,0.0000,0.0000,0.7481,0.2519,0.9997,0.0003,0.0000
